var1 var2 var3
B 90,673 5
A 26,192 4
B 16,134 3
C 99,61 5
C 100,662 3
F 55,904 3
B 4,906 6
D 53,294 2
F 12,372 3
F 67,867 4
D 6,286 8
D 90,909 8
D 79,896 7
D 27,355 7
B 80,882 6
D 53,908 5
F 64,34 10
C 24,842 4
C 40,544 4
B 7,733 4
F 15,617 8
D 99,492 6
C 44,234 4
E 74,481 6
C 70,239 7
E 43,994 5
A 69,537 5
C 94,595 6
F 43,671 8
A 69,737 4
B 51,975 8
D 78,18 4
E 98,173 5
C 1,828 7
B 92,679 6
C 4,124 4
D 94,626 7
C 41,388 7
A 50,674 5
F 23,935 7
D 3,956 2
B 62,153 6
A 32,17 5
D 6,342 3
F 66,874 5
D 84,337 6
C 46,859 0
A 13,616 3
A 17,157 5
C 19,994 5
B 82,204 7
F 85,893 4
C 51,931 7
C 18,299 1
D 53,544 5
B 96,498 6
D 65,507 5
F 21,126 8
D 55,456 2
E 69,244 4
C 77,31 6
E 95,97 9
E 19,228 7
B 27,972 10
D 51,857 4
C 38,114 5
D 47,467 6
B 10,792 2
A 52,238 5
D 42,413 5
D 35,732 5
E 79,647 13
F 54,173 3
B 2,611 6
B 87,971 3
B 75,281 6
F 53,787 5
A 11,799 0
B 94,461 10
D 100,965 4
D 54,558 6
B 63,115 6
E 13,7 4
B 28,575 1
C 62,207 3
B 27,12 5
D 73,389 7
F 66,668 6
F 42,994 3
D 90,628 5
B 43,553 3
D 16,542 4
E 36,49 2
B 53,358 2
D 98,472 8
C 86,154 8
B 25,204 4
D 98,791 6
A 5,821 5
E 33,737 5
D 90,318 4
F 36,746 3
F 71,768 9
D 71,264 4
A 79,271 9
C 81,547 6
E 47,52 11
C 66,2 3
A 3,582 2
B 84,822 2
A 70,498 6
A 65,171 8
C 85,992 10
A 25,488 3
A 13,101 7
F 8,441 3
C 91,833 4
A 93,905 5
E 45,889 9
C 64,423 3
F 55,697 5
B 97,742 3
E 69,934 4
E 39,652 8
D 62,281 9
D 12,478 2
C 35,229 8
D 81,602 3
B 31,485 3
F 78,873 7
C 55,537 8
A 97,403 6
D 25,97 3
D 74,126 5
E 26,987 4
A 8,542 2
D 51,86 11
A 87,246 7
A 54,974 7
F 95,434 6
A 20,719 4
B 96,279 3
B 39,732 5
D 29,57 10
B 3,645 5
C 79,355 4
D 59,228 5
A 2,67 3
F 97,456 5
E 50,701 6
D 2,815 5
B 23,93 9
A 23,245 5
B 77,917 4
F 24,724 5
B 16,675 5
C 37,473 4
C 78,413 3
B 17,751 7
D 60,569 4
D 49,502 10
D 58,672 5
C 35,132 4
C 45,758 2
B 65,932 9
E 95,704 4
C 30,926 7
C 94,318 3
B 59,251 5
C 61,969 4
C 22,855 1
C 79,528 6
D 23,928 5
F 95,7 6
D 56,754 4
F 100,75 8
D 98,323 5
F 72,57 5
B 93,389 8
A 92,666 8
C 96,86 4
B 72,912 2
C 58,667 5
E 37,954 3
F 21,135 4
C 17,512 8
C 85,711 8
E 29,101 5
C 91,738 8
F 12,465 2
E 75,438 11
D 49,92 5
F 85,732 4
C 54,708 4
E 65,291 6
D 22,113 9
A 6,379 10
F 24,436 7
D 54,989 4
A 5,886 7
D 91,379 2
C 59,709 3
D 72,826 5
C 51,551 10
C 38,433 5
A 73,137 5
F 72,897 3
E 27,737 5
A 25,936 6
F 92,748 4
B 98,342 4
F 48,367 6
E 35,433 5
A 92,269 7
E 58,207 6
C 8,372 6
F 45,113 4
B 92,759 3
A 88,397 4
F 99,805 5
B 35,752 2
F 52,984 4
D 31,942 6
B 32,354 9
E 64,858 3
C 6,43 5
D 42,855 3
B 85,989 6
C 85,912 3
B 97,375 3
D 6,871 5
B 49,826 4
F 52,454 4
A 71,33 4
B 79,177 7
B 52,877 5
F 24,565 9
C 5,155 10
E 71,734 3
A 100,875 4
D 63,854 6
E 95,665 1
C 44,256 7
C 92,324 8
D 80,213 5
C 24,926 3
D 40,486 3
B 14,205 5
A 77,979 3
D 42,492 3
C 84,964 7
C 5,676 6
A 92,768 5
D 97,412 5
B 31,505 8
D 36,516 4
C 59,908 9
B 62,393 6
A 26,837 5
F 10,883 5
B 43,791 8
C 58,215 4
D 64,895 0
C 44,975 3
A 34,303 7
C 19,346 3
F 62,859 4
B 84,784 11
B 33,419 2
C 71,633 7
C 61,95 3
F 42,382 6
F 19,13 5
E 25,935 3
E 28,546 4
D 6,8 3
C 90,431 3
C 15,521 2
B 90,96 8
E 28,574 3
D 93,736 4
F 22,938 4
F 7,93 4
F 68,1 4
B 93,795 8
F 32,661 8
B 95,429 7
B 93,669 6
B 57,885 2
C 16,581 2
F 83,948 7
C 76,395 5
D 6,628 3
F 22,704 5
D 88,655 8
C 34,386 5
E 84,72 4
B 98,197 5
B 87,784 4
D 16,254 5
D 87,545 4
B 67,264 12
F 85,998 3
B 78,22 5
D 15,98 3
E 40,734 3
A 48,727 3
B 34,422 2
D 61,665 4
C 8,665 1
A 23,698 9
D 24,817 5
B 7,467 5
B 82,553 5
A 90,473 8
F 26,909 8
D 74,851 5
A 46,415 8
D 8,857 3
C 23,699 4
C 75,583 3
C 31,858 6
C 54,639 6
D 43,315 5
C 13,31 4
E 34,689 3
A 50,834 3
C 20,338 5
A 19,172 3
C 12,408 7
C 27,826 5
D 15,662 2
A 31,827 3
D 71,336 3
B 75,422 2
D 43,317 1
E 49,442 2
D 65,568 6
B 52,549 7
A 46,363 0
D 28,898 6
F 10,811 3
D 46,3 4
F 86,388 10
B 14,745 2
B 16,655 6
B 82,459 7
F 86,706 4
D 24,169 3
B 64,87 2
D 87,962 8
B 37,673 3
D 5,111 5
F 23,375 3
B 49,112 5
B 15,715 6
F 6,343 2
F 35,122 4
C 41,577 4
D 75,12 3
C 31,106 5
E 46,396 5
D 59,486 5
D 20,973 4
F 30,278 4
B 83,401 6
D 51,171 3
B 68,202 2
B 94,989 8
C 80,999 10
B 5,584 5
D 67,544 5
B 99,717 2
C 77,512 2
B 93,161 7
B 64,294 6
F 40,719 4
C 34,943 5
D 59,51 4
C 7,798 4
B 33,453 6
E 92,433 4
F 98,539 6
E 84,975 5
B 38,919 3
B 59,698 7
B 54,338 7
C 44,154 6
B 18,833 7
D 100,659 4
C 29,623 4
B 43,895 7
A 64,953 3
C 92,707 0
B 81,357 4
A 69,194 6
D 60,417 5
A 36,77 7
E 89,39 6
C 96,448 6
C 47,461 5
B 80,418 7
E 18,354 4
C 81,452 4
E 14,441 5
C 86,912 6
E 100,137 6
B 75,51 5
D 97,492 6
B 39,831 2
C 61,174 4
D 28,842 3
B 68,678 9
F 10,58 5
D 95,374 3
C 43,806 7
C 70,83 5
D 76,662 6
D 72,865 7
F 84,503 6
C 98,706 6
F 15,793 6
C 95,61 4
F 32,38 5
D 34,942 7
F 83,349 7
D 84,985 3
E 6,238 4
B 23,123 7
C 5,403 7
B 90,846 6
F 80,8 3
B 33,724 4
F 71,755 7
A 39,116 1
F 59,956 5
C 55,351 6
D 10,883 3
C 64,933 7
A 4,459 3
B 59,833 5
C 31,384 3
C 87,221 7
D 18,191 8
C 2,368 3
B 19,72 7
A 86,661 2
A 78,214 5
B 21,686 4
F 64,637 3
C 92,767 2
E 79,791 5
C 25,979 4
D 93,736 4
E 24,461 5
B 87,833 3
C 26,65 4
F 47,743 9
F 83,417 5
C 62,493 4
D 4,914 9
C 42,779 7
D 68,264 3
D 79,767 2
B 58,984 3
B 98,869 4
F 56,914 3
A 96,67 4
C 86,266 5
D 34,807 5
E 8,278 8
D 86,69 4
E 94,179 5
F 83,607 4
D 38,26 5
A 80,738 9
A 9,491 7
C 19,363 3
B 54,479 3
A 42,97 2
E 15,637 6
F 29,862 2
B 8,244 8
D 5,34 5
D 16,624 2
F 85,598 7
B 11,837 4
D 30,2 5
F 38,447 6
C 56,145 2
D 69,399 4
C 44,277 5
C 66,532 5
A 93,597 3
C 95,328 5
C 68,905 6
D 23,19 7
E 71,615 5
B 64,753 8
B 62,305 2
F 25,295 1
C 97,488 7
D 54,381 5
C 28,172 5
A 67,3 8
C 49,344 4
C 50,154 7
C 68,561 6
B 99,889 9
A 94,829 10
D 71,694 7
F 28,204 4
C 83,741 1
B 50,804 6
C 70,781 2
C 23,851 6
B 81,366 7
B 2,567 3
F 77,866 5
B 67,454 7
D 45,501 5
C 59,891 2
F 54,475 5
F 40,491 5
D 69,826 3
D 45,746 3
C 38,391 7
B 69,65 4
B 65,382 3
F 31,151 3
F 29,106 1
A 44,286 8
C 31,588 9
D 49,713 2
B 77,737 4
B 3,893 8
A 28,881 5
C 90,689 6
E 6,997 8
A 99,866 7
C 91,928 10
C 17,374 8
D 31,26 3
F 57,878 4
D 41,16 4
C 44,986 5
F 51,445 4
B 55,188 4
F 17,399 5
A 29,363 6
B 62,639 5
F 14,454 4
D 20,421 4
B 100,899 5
D 86,435 3
B 33,331 6
C 15,708 5
C 23,801 7
C 24,287 2
B 14,955 3
B 4,201 9
A 12,814 2
C 46,343 3
C 29,703 7
E 84,365 6
B 65,425 4
B 16,776 7
B 71,85 1
C 43,259 5
B 2,134 4
B 63,766 2
D 68,761 4
D 76,945 8
D 21,173 5
D 8,682 4
A 30,743 1
D 76,82 2
D 52,774 4
D 53,323 5
C 34,512 6
B 26,735 3
D 22,898 4
B 87,907 8
D 39,64 4
B 24,465 2
C 41,129 5
D 59,154 4
C 9,9 2
D 76,139 4
E 61,696 3
C 61,801 6
A 47,332 5
F 90,21 8
A 85,219 3
E 69,243 9
C 25,855 10
D 42,305 4
E 5,676 3
D 34,888 3
C 36,919 7
B 34,709 7
F 27,59 6
F 24,724 7
E 60,154 3
B 60,224 3
D 37,525 3
D 73,863 5
B 50,762 9
C 3,227 6
C 71,503 6
E 56,811 7
B 39,784 6
B 9,244 5
C 52,192 2
D 40,725 2
D 36,65 9
C 68,769 6
E 76,303 2
D 60,655 9
E 35,929 2
B 20,151 7
C 34,661 5
E 6,665 3
B 23,621 8
D 31,612 7
E 2,845 5
A 40,459 4
B 75,397 6
A 43,939 1
D 91,723 3
D 49,638 5
C 36,166 3
B 33,46 4
F 100,741 7
D 8,301 5
C 41,469 4
A 92,331 2
C 96,262 6
B 23,972 6
F 13,772 6
D 10,397 7
E 24,947 3
B 27,592 2
E 72,399 5
B 47,243 4
A 57,274 5
A 15,237 4
D 91,795 7
F 41,943 4
E 60,177 3
E 17,409 3
D 55,162 4
C 93,865 2
C 25,709 4
A 70,97 5
C 57,815 4
E 94,173 4
B 11,646 6
C 62,679 4
D 75,42 5
D 2,767 8
F 3,466 3
D 61,44 5
F 100,152 5
B 5,467 8
C 26,836 3
C 38,877 5
F 42,215 4
F 14,455 5
D 28,433 5
B 66,412 8
D 84,399 11
E 31,141 2
F 36,935 4
A 53,312 4
C 68,937 6
C 78,67 3
F 91,77 5
B 1,899 3
F 13,574 6
D 85,285 2
C 94,29 1
B 14,762 6
B 64,355 4
F 98,897 6
D 22,176 2
C 80,661 6
B 69,345 6
C 58,346 6
C 13,896 6
B 43,168 0
D 23,257 6
C 67,28 4
C 48,486 4
C 57,969 1
C 65,605 8
D 66,18 1
A 30,333 10
D 60,194 5
A 58,1 9
B 43,692 6
D 72,426 2
C 2,759 6
C 52,838 8
C 95,579 5
F 95,325 8
C 3,491 4
C 14,718 2
D 59,855 4
B 27,744 3
F 75,951 6
D 20,297 7
C 78,276 3
D 82,926 3
F 89,759 3
D 74,668 3
E 20,398 7
F 43,312 6
D 89,376 5
B 16,449 3
D 58,432 9
E 21,349 3
C 62,936 2
B 65,345 5
F 32,426 6
F 86,148 6
E 97,466 4
D 73,546 2
E 87,185 2
B 93,175 5
B 27,776 7
C 82,695 6
C 62,494 6
A 40,143 6
C 19,29 8
A 50,425 7
D 58,664 7
D 54,387 5
F 83,251 5
E 91,459 1
D 49,139 6
D 69,63 3
A 24,636 6
D 31,845 5
D 11,62 3
C 98,274 4
C 82,441 0
B 39,949 3
C 89,398 5
B 47,304 6
B 36,558 7
A 83,431 8
A 63,255 6
B 33,6 4
D 76,366 5
D 27,265 2
E 97,144 7
F 85,891 2
B 2,435 7
C 74,314 2
C 100,921 3
A 63,938 4
C 71,543 5
D 66,513 8
C 40,19 4
F 98,492 6
B 57,15 3
A 19,12 5
B 84,218 5
F 22,194 9
D 62,144 4
A 94,415 4
C 18,908 6
E 37,764 4
B 43,747 4
B 80,253 4
C 45,446 5
F 91,915 4
D 1,249 3
F 14,519 5
C 19,822 5
F 65,987 8
C 90,772 3
F 98,399 6
D 100,795 6
F 99,287 4
D 19,416 5
C 56,174 4
C 81,217 4
E 20,901 8
D 68,895 6
B 96,118 3
C 78,132 7
B 16,523 2
D 95,816 4
B 7,916 7
B 11,978 6
F 76,386 5
C 24,838 3
F 79,61 4
D 56,384 3
E 36,13 5
F 53,772 4
E 78,872 4
E 34,889 6
B 87,248 4
D 12,316 3
C 66,182 7
C 96,464 3
C 41,765 5
D 91,612 5
B 9,816 6
B 24,611 5
C 20,134 8
F 41,54 4
B 29,64 6
F 51,677 2
D 45,148 7
E 97,889 6
D 10,837 8
C 86,591 4
A 23,67 6
F 36,102 6
D 22,112 7
D 27,927 6
C 58,306 6
C 73,485 5
F 12,143 6
E 37,265 10
F 18,704 8
E 19,938 3
F 39,778 7
F 19,417 5
B 23,128 6
C 99,251 7
D 86,375 4
A 88,562 6
F 57,936 3
B 20,451 4
D 74,806 3
B 7,724 2
B 64,723 2
C 87,351 4
C 12,963 7
C 87,794 2
E 45,631 2
D 55,694 3
F 44,37 2
E 91,483 8
F 66,911 4
B 68,23 4
C 15,716 5
B 88,743 5
C 73,228 9
C 19,486 5
D 7,594 4
B 56,801 2
F 47,998 4
C 2,133 5
A 94,961 4
D 80,595 9
C 4,785 7
A 48,13 3
B 70,229 4
B 10,313 4
B 30,484 5
C 43,441 3
E 53,186 3
E 91,971 7
B 3,565 8
D 20,178 5
B 83,299 9
B 7,989 3
C 3,843 8
E 96,251 6
C 86,428 6
E 49,943 4
D 24,238 3
D 4,652 6
D 83,28 5
E 1,714 14
C 28,612 7
C 28,293 3
B 40,446 7
D 10,376 5
A 59,441 6
B 15,794 4
C 98,893 4
F 62,428 6
B 31,363 3
E 72,69 5
C 80,114 4
E 94,996 5
B 41,231 6
B 43,805 6
D 72,814 5
D 46,398 3
D 38,16 5
D 49,388 1
A 40,254 5
B 68,481 7
D 64,129 5
E 40,45 6
B 64,157 3
E 77,368 7
F 54,453 5
B 13,651 4
D 85,641 3
F 96,504 4
C 60,532 4
B 30,969 4
B 83,225 4
B 30,39 4
F 20,205 6
D 8,91 2
C 22,856 4
F 4,463 6
B 21,67 6
E 53,471 7
C 31,744 9
D 88,858 4
C 36,23 8
F 42,176 3
C 77,757 3
D 6,747 2
B 9,681 5
C 64,36 1
D 68,677 4
C 43,655 3
D 60,902 7
B 35,174 3
D 75,888 3
C 17,127 4
F 88,933 9
C 93,248 8
F 95,441 4
D 19,404 4
B 50,934 7
D 98,185 7
F 19,927 5
D 52,945 6
B 15,734 4
B 65,425 9
B 92,556 7
E 75,863 8
B 36,848 4
F 77,22 3
E 69,421 4
F 63,786 4
C 23,323 5
B 37,665 7
E 78,505 4
F 23,751 5
B 80,305 8
C 44,959 3
D 33,998 2
C 75,77 4
F 37,718 10
C 70,585 3
C 91,769 5
F 26,663 4
B 54,306 2
D 56,708 8
C 68,506 7
E 1,711 6
B 66,41 5
C 50,897 8
B 82,283 14
D 47,431 9
E 75,108 5
B 58,22 5
D 54,781 1
E 49,74 4
C 92,966 5
B 25,666 4
C 61,271 5
D 23,858 5
B 5,688 5
B 98,47 3
D 38,153 6
D 15,77 5
B 11,615 5
F 1,475 2
D 30,869 6
C 3,959 9
D 75,652 3
A 40,42 3
B 74,596 6
D 17,505 4
D 94,795 2
D 16,297 2
C 27,803 7
F 18,758 6
A 16,884 1
B 91,232 7
B 19,77 5
C 95,833 5
D 49,903 4
C 31,566 13
F 99,473 10
D 31,51 2
F 17,89 4
A 30,143 4
E 61,822 3
D 33,607 8
D 53,937 5
C 50,579 4
B 41,288 3
C 16,367 6
C 16,506 6
F 6,195 6
B 10,481 10
B 3,627 4
C 27,207 7
D 16,568 6
B 65,801 8
A 37,607 9
A 33,928 7
C 60,858 5
C 59,111 4
B 40,751 4
A 28,354 7
B 6,28 7
E 37,187 8
C 66,327 3
E 23,683 4
B 7,985 5
C 69,567 7
D 84,42 5
E 48,659 6
B 42,894 10
F 77,768 6
E 14,307 6
A 57,561 8
D 64,834 3
B 40,323 6
C 39,269 3
C 88,67 4
C 99,198 5
D 40,384 5
F 77,672 4
B 80,5 6
B 49,226 3
F 6,683 6
A 21,167 6
A 50,646 7
E 77,703 4
E 75,696 5
E 22,809 16
C 38,83 6
D 41,103 6
D 67,549 2
E 92,368 6
F 57,214 6
C 3,827 3
B 15,601 4
C 82,357 3
D 81,817 7
E 46,298 4
C 72,383 5
D 71,231 4
C 66,491 3
F 45,424 8
A 56,312 4
B 69,365 10
C 40,727 6
E 85,951 6
E 87,916 6
A 99,641 7
D 31,495 4
E 81,311 6
E 32,445 7
B 25,988 2
D 88,551 8
D 36,381 6
C 53,814 1
A 78,466 2
B 92,223 4
F 52,31 5
F 58,604 0
C 37,76 4
F 48,866 5
C 94,767 5
B 56,266 7
E 63,77 0
C 22,735 6
A 99,678 5
D 15,688 1
C 12,54 6
E 45,981 7
C 68,883 3
B 87,636 7
F 18,858 5
D 92,658 9
A 88,251 8
C 37,692 5
E 64,647 9
F 42,479 3
C 26,824 7
B 59,969 9
B 88,236 3
E 84,594 6
B 29,573 7
D 94,423 6
B 55,709 8
C 42,48 4
C 86,429 10
C 24,151 6
A 75,564 4
E 55,378 3
B 21,69 9
F 4,268 6
F 84,404 7
A 70,8 3
F 62,526 7
