"X"	"Y"	"queClase"	"clases"
-4.01	0	15	"(-4.5,-3.75]"
13.3	1	38	"(12.8,13.5]"
7.58	1	31	"(7.5,8.25]"
6.03	1	29	"(6,6.75]"
-13.3	0	3	"(-13.5,-12.8]"
-8.35	0	9	"(-9,-8.25]"
-4.87	0	14	"(-5.25,-4.5]"
-14.7	0	1	"[-15,-14.2]"
4.02	0	26	"(3.75,4.5]"
4.16	1	26	"(3.75,4.5]"
12.1	1	37	"(12,12.8]"
7.06	1	30	"(6.75,7.5]"
-9.95	0	7	"(-10.5,-9.75]"
-5.07	0	14	"(-5.25,-4.5]"
8.85	1	32	"(8.25,9]"
3.44	0	25	"(3,3.75]"
8.65	1	32	"(8.25,9]"
-14.8	0	1	"[-15,-14.2]"
-14.2	0	2	"(-14.2,-13.5]"
4.55	1	27	"(4.5,5.25]"
14.9	1	40	"(14.2,15]"
9.03	1	33	"(9,9.75]"
-3.19	0	16	"(-3.75,-3]"
1.03	0	22	"(0.75,1.5]"
-4.61	0	14	"(-5.25,-4.5]"
12.9	1	38	"(12.8,13.5]"
-11.5	0	5	"(-12,-11.2]"
0.869	0	22	"(0.75,1.5]"
-6.18	0	12	"(-6.75,-6]"
-4.16	1	15	"(-4.5,-3.75]"
14.6	1	40	"(14.2,15]"
7.5	1	31	"(6.75,7.5]"
-8.53	0	9	"(-9,-8.25]"
6.2	1	29	"(6,6.75]"
-8.23	0	10	"(-8.25,-7.5]"
2.37	1	24	"(2.25,3]"
-10.9	0	6	"(-11.2,-10.5]"
-12.5	0	4	"(-12.8,-12]"
5.65	1	28	"(5.25,6]"
-2.05	1	18	"(-2.25,-1.5]"
10.9	1	35	"(10.5,11.2]"
1.39	1	22	"(0.75,1.5]"
-8.35	0	9	"(-9,-8.25]"
-5.22	0	14	"(-5.25,-4.5]"
-8.64	0	9	"(-9,-8.25]"
-4.64	0	14	"(-5.25,-4.5]"
10.1	1	34	"(9.75,10.5]"
-13.9	0	2	"(-14.2,-13.5]"
6.18	1	29	"(6,6.75]"
-12.6	0	4	"(-12.8,-12]"
11.2	1	35	"(10.5,11.2]"
9.96	1	34	"(9.75,10.5]"
-4.55	0	14	"(-5.25,-4.5]"
-9.05	0	8	"(-9.75,-9]"
-13.7	0	2	"(-14.2,-13.5]"
3.5	1	25	"(3,3.75]"
13.4	1	38	"(12.8,13.5]"
-9.07	0	8	"(-9.75,-9]"
5.8	1	28	"(5.25,6]"
9.25	1	33	"(9,9.75]"
-8.12	0	10	"(-8.25,-7.5]"
5.4	0	28	"(5.25,6]"
-7.43	0	11	"(-7.5,-6.75]"
-2.94	1	17	"(-3,-2.25]"
-3.82	1	15	"(-4.5,-3.75]"
13.6	1	39	"(13.5,14.2]"
5.28	1	28	"(5.25,6]"
-14.9	0	1	"[-15,-14.2]"
-0.215	1	20	"(-0.75,0]"
-12.6	0	4	"(-12.8,-12]"
7.76	1	31	"(7.5,8.25]"
13	1	38	"(12.8,13.5]"
-1.68	0	18	"(-2.25,-1.5]"
11.4	1	36	"(11.2,12]"
-12.3	0	4	"(-12.8,-12]"
7.47	1	30	"(6.75,7.5]"
5.81	1	28	"(5.25,6]"
-12.1	0	4	"(-12.8,-12]"
9.56	1	33	"(9,9.75]"
5.29	1	28	"(5.25,6]"
-7.66	0	10	"(-8.25,-7.5]"
-4.05	0	15	"(-4.5,-3.75]"
-1.85	0	18	"(-2.25,-1.5]"
4.72	1	27	"(4.5,5.25]"
-3.65	0	16	"(-3.75,-3]"
-9.14	0	8	"(-9.75,-9]"
-12.9	0	3	"(-13.5,-12.8]"
-9.65	0	8	"(-9.75,-9]"
5.41	1	28	"(5.25,6]"
9.51	1	33	"(9,9.75]"
-6.8	0	11	"(-7.5,-6.75]"
-5.66	0	13	"(-6,-5.25]"
-5.64	0	13	"(-6,-5.25]"
-9.48	0	8	"(-9.75,-9]"
9.51	1	33	"(9,9.75]"
-7.04	0	11	"(-7.5,-6.75]"
7.99	1	31	"(7.5,8.25]"
9.96	1	34	"(9.75,10.5]"
-6.23	0	12	"(-6.75,-6]"
-4.69	0	14	"(-5.25,-4.5]"
7.52	1	31	"(7.5,8.25]"
-12.6	0	4	"(-12.8,-12]"
4.31	0	26	"(3.75,4.5]"
11.1	1	35	"(10.5,11.2]"
-8.97	0	9	"(-9,-8.25]"
0.306	1	21	"(0,0.75]"
2.72	0	24	"(2.25,3]"
-8.4	0	9	"(-9,-8.25]"
13.1	1	38	"(12.8,13.5]"
-8	0	10	"(-8.25,-7.5]"
-2.88	1	17	"(-3,-2.25]"
-13.8	0	2	"(-14.2,-13.5]"
2.18	1	23	"(1.5,2.25]"
9.7	1	33	"(9,9.75]"
12.9	1	38	"(12.8,13.5]"
-6.76	0	11	"(-7.5,-6.75]"
-12.8	0	3	"(-13.5,-12.8]"
-12.3	0	4	"(-12.8,-12]"
-4.46	0	15	"(-4.5,-3.75]"
-7.71	0	10	"(-8.25,-7.5]"
-0.124	0	20	"(-0.75,0]"
6.98	1	30	"(6.75,7.5]"
-13.2	0	3	"(-13.5,-12.8]"
1.74	1	23	"(1.5,2.25]"
-2.62	0	17	"(-3,-2.25]"
6.08	1	29	"(6,6.75]"
13	1	38	"(12.8,13.5]"
7.37	0	30	"(6.75,7.5]"
10.5	1	34	"(9.75,10.5]"
-9.98	0	7	"(-10.5,-9.75]"
12.6	1	37	"(12,12.8]"
9.48	1	33	"(9,9.75]"
8.73	1	32	"(8.25,9]"
1.79	1	23	"(1.5,2.25]"
11	1	35	"(10.5,11.2]"
-11.1	0	6	"(-11.2,-10.5]"
-12.5	0	4	"(-12.8,-12]"
0.48	1	21	"(0,0.75]"
-13.3	0	3	"(-13.5,-12.8]"
-1.68	1	18	"(-2.25,-1.5]"
13.7	1	39	"(13.5,14.2]"
5.42	0	28	"(5.25,6]"
6.91	1	30	"(6.75,7.5]"
13	1	38	"(12.8,13.5]"
11.4	1	36	"(11.2,12]"
-4.35	1	15	"(-4.5,-3.75]"
9.48	1	33	"(9,9.75]"
-9.94	0	7	"(-10.5,-9.75]"
-5.96	0	13	"(-6,-5.25]"
9.28	1	33	"(9,9.75]"
13.7	1	39	"(13.5,14.2]"
12	1	36	"(11.2,12]"
-14.4	0	1	"[-15,-14.2]"
12.2	1	37	"(12,12.8]"
5.19	1	27	"(4.5,5.25]"
1.6	0	23	"(1.5,2.25]"
1.76	0	23	"(1.5,2.25]"
-11.6	0	5	"(-12,-11.2]"
4.8	0	27	"(4.5,5.25]"
9.97	1	34	"(9.75,10.5]"
-1.11	1	19	"(-1.5,-0.75]"
8.07	1	31	"(7.5,8.25]"
2.87	0	24	"(2.25,3]"
-2.45	1	17	"(-3,-2.25]"
6.86	1	30	"(6.75,7.5]"
-14	0	2	"(-14.2,-13.5]"
14.5	1	40	"(14.2,15]"
-13.3	0	3	"(-13.5,-12.8]"
5.15	1	27	"(4.5,5.25]"
-0.724	1	20	"(-0.75,0]"
-3.8	0	15	"(-4.5,-3.75]"
14.4	1	40	"(14.2,15]"
-5.18	0	14	"(-5.25,-4.5]"
13	1	38	"(12.8,13.5]"
7.16	1	30	"(6.75,7.5]"
10.3	1	34	"(9.75,10.5]"
6.63	1	29	"(6,6.75]"
3.63	1	25	"(3,3.75]"
5.06	1	27	"(4.5,5.25]"
-6.12	0	12	"(-6.75,-6]"
-11	0	6	"(-11.2,-10.5]"
1.05	0	22	"(0.75,1.5]"
-11.8	0	5	"(-12,-11.2]"
-7.91	0	10	"(-8.25,-7.5]"
-5.32	0	13	"(-6,-5.25]"
-5.26	0	13	"(-6,-5.25]"
8.01	1	31	"(7.5,8.25]"
-14.2	0	2	"(-14.2,-13.5]"
-2.36	1	17	"(-3,-2.25]"
7.35	1	30	"(6.75,7.5]"
-10.4	0	7	"(-10.5,-9.75]"
-4.83	0	14	"(-5.25,-4.5]"
14.6	1	40	"(14.2,15]"
-9.65	0	8	"(-9.75,-9]"
-3.92	0	15	"(-4.5,-3.75]"
-13.7	0	2	"(-14.2,-13.5]"
4.51	1	27	"(4.5,5.25]"
4.97	1	27	"(4.5,5.25]"
-7.85	0	10	"(-8.25,-7.5]"
0.919	0	22	"(0.75,1.5]"
-1.66	0	18	"(-2.25,-1.5]"
-6.34	0	12	"(-6.75,-6]"
13.7	1	39	"(13.5,14.2]"
-13.2	0	3	"(-13.5,-12.8]"
0.508	0	21	"(0,0.75]"
11.1	1	35	"(10.5,11.2]"
-6.95	0	11	"(-7.5,-6.75]"
14	1	39	"(13.5,14.2]"
12.7	1	37	"(12,12.8]"
-12.5	0	4	"(-12.8,-12]"
2.13	0	23	"(1.5,2.25]"
5.24	1	27	"(4.5,5.25]"
0.647	0	21	"(0,0.75]"
4.87	1	27	"(4.5,5.25]"
-7.48	0	11	"(-7.5,-6.75]"
6.31	1	29	"(6,6.75]"
11.6	1	36	"(11.2,12]"
-6.73	0	12	"(-6.75,-6]"
-12.4	0	4	"(-12.8,-12]"
-10.5	0	6	"(-11.2,-10.5]"
12.2	1	37	"(12,12.8]"
10.3	1	34	"(9.75,10.5]"
-8.12	0	10	"(-8.25,-7.5]"
6.74	1	29	"(6,6.75]"
-9.85	0	7	"(-10.5,-9.75]"
12.5	1	37	"(12,12.8]"
-14.5	0	1	"[-15,-14.2]"
0.693	0	21	"(0,0.75]"
11.2	1	35	"(10.5,11.2]"
-5.01	1	14	"(-5.25,-4.5]"
-0.811	1	19	"(-1.5,-0.75]"
-7.77	0	10	"(-8.25,-7.5]"
2.31	1	24	"(2.25,3]"
-7.58	0	10	"(-8.25,-7.5]"
14.8	1	40	"(14.2,15]"
0.505	0	21	"(0,0.75]"
-0.0599	0	20	"(-0.75,0]"
-13.1	0	3	"(-13.5,-12.8]"
10.3	1	34	"(9.75,10.5]"
6.92	1	30	"(6.75,7.5]"
1.4	1	22	"(0.75,1.5]"
5.01	1	27	"(4.5,5.25]"
-2.45	0	17	"(-3,-2.25]"
-11.7	0	5	"(-12,-11.2]"
4.12	1	26	"(3.75,4.5]"
8.25	1	32	"(7.5,8.25]"
-2.09	1	18	"(-2.25,-1.5]"
10.9	1	35	"(10.5,11.2]"
-0.0431	0	20	"(-0.75,0]"
0.686	0	21	"(0,0.75]"
15	1	40	"(14.2,15]"
-7.69	0	10	"(-8.25,-7.5]"
-8.37	0	9	"(-9,-8.25]"
-3.29	1	16	"(-3.75,-3]"
13.8	1	39	"(13.5,14.2]"
10.2	1	34	"(9.75,10.5]"
-11	0	6	"(-11.2,-10.5]"
-13.7	0	2	"(-14.2,-13.5]"
12	1	36	"(11.2,12]"
-2.87	1	17	"(-3,-2.25]"
9.44	1	33	"(9,9.75]"
-2.46	0	17	"(-3,-2.25]"
-6.3	0	12	"(-6.75,-6]"
6.94	1	30	"(6.75,7.5]"
5.28	1	28	"(5.25,6]"
-11.1	0	6	"(-11.2,-10.5]"
1.23	1	22	"(0.75,1.5]"
-10.5	0	7	"(-11.2,-10.5]"
13.8	1	39	"(13.5,14.2]"
-6.44	0	12	"(-6.75,-6]"
14.9	1	40	"(14.2,15]"
12.3	1	37	"(12,12.8]"
10	1	34	"(9.75,10.5]"
-0.242	1	20	"(-0.75,0]"
8.2	1	31	"(7.5,8.25]"
-4.4	1	15	"(-4.5,-3.75]"
12.9	1	38	"(12.8,13.5]"
-13.8	0	2	"(-14.2,-13.5]"
-14.8	0	1	"[-15,-14.2]"
-12.3	0	4	"(-12.8,-12]"
-3.15	1	16	"(-3.75,-3]"
-12	0	5	"(-12.8,-12]"
13.3	1	38	"(12.8,13.5]"
3.22	0	25	"(3,3.75]"
-6.35	0	12	"(-6.75,-6]"
-9.94	0	7	"(-10.5,-9.75]"
-7.38	0	11	"(-7.5,-6.75]"
-5.42	0	13	"(-6,-5.25]"
4.44	0	26	"(3.75,4.5]"
-1.31	0	19	"(-1.5,-0.75]"
11.2	1	35	"(10.5,11.2]"
-0.222	0	20	"(-0.75,0]"
4.77	1	27	"(4.5,5.25]"
-13.3	0	3	"(-13.5,-12.8]"
6	1	28	"(5.25,6]"
5.27	1	28	"(5.25,6]"
-11.5	0	5	"(-12,-11.2]"
-14.4	0	1	"[-15,-14.2]"
1.74	1	23	"(1.5,2.25]"
12.4	1	37	"(12,12.8]"
-4.17	1	15	"(-4.5,-3.75]"
0.441	0	21	"(0,0.75]"
-8.42	0	9	"(-9,-8.25]"
7.53	1	31	"(7.5,8.25]"
11.7	1	36	"(11.2,12]"
3.08	1	25	"(3,3.75]"
-1.42	0	19	"(-1.5,-0.75]"
7.27	1	30	"(6.75,7.5]"
13.3	1	38	"(12.8,13.5]"
-7.34	0	11	"(-7.5,-6.75]"
14	1	39	"(13.5,14.2]"
-14.7	0	1	"[-15,-14.2]"
4.87	1	27	"(4.5,5.25]"
4.65	1	27	"(4.5,5.25]"
8.86	1	32	"(8.25,9]"
-12.6	0	4	"(-12.8,-12]"
-5.95	0	13	"(-6,-5.25]"
-3.73	1	16	"(-3.75,-3]"
-12.4	0	4	"(-12.8,-12]"
1.38	1	22	"(0.75,1.5]"
8.26	1	32	"(8.25,9]"
-10.4	0	7	"(-10.5,-9.75]"
13.2	1	38	"(12.8,13.5]"
6.41	1	29	"(6,6.75]"
-13.1	0	3	"(-13.5,-12.8]"
-0.291	0	20	"(-0.75,0]"
9.54	1	33	"(9,9.75]"
8.61	1	32	"(8.25,9]"
1.63	0	23	"(1.5,2.25]"
9.05	1	33	"(9,9.75]"
-11	0	6	"(-11.2,-10.5]"
14.7	1	40	"(14.2,15]"
3.53	0	25	"(3,3.75]"
-10.4	0	7	"(-10.5,-9.75]"
-13.2	0	3	"(-13.5,-12.8]"
12.7	1	37	"(12,12.8]"
12.8	1	38	"(12.8,13.5]"
-2.09	0	18	"(-2.25,-1.5]"
5.26	1	28	"(5.25,6]"
-0.403	1	20	"(-0.75,0]"
13.7	1	39	"(13.5,14.2]"
12.6	1	37	"(12,12.8]"
-2.08	0	18	"(-2.25,-1.5]"
2.45	0	24	"(2.25,3]"
2.77	0	24	"(2.25,3]"
-7.71	0	10	"(-8.25,-7.5]"
11.8	1	36	"(11.2,12]"
-14.6	0	1	"[-15,-14.2]"
-2.92	0	17	"(-3,-2.25]"
1.1	1	22	"(0.75,1.5]"
-12.4	0	4	"(-12.8,-12]"
-9.36	0	8	"(-9.75,-9]"
