"vector1" "vector2" "vector3"
"67" "A" -86 -0.143984783742206
"68" "A" -52 -0.234971999467544
"69" "A" -12 -0.264318060416236
"70" "A" 15 -0.562783356151253
"71" "A" 14 -0.538707978275884
"72" "A" 48 0.462853580630897
"73" "A" 61 1.80726475690856
"74" "A" -33 0.532128531982052
"75" "A" 39 -0.17243649331933
"76" "A" 35 -0.925791041153644
"77" "A" -22 -1.39272212609618
"78" "A" -77 1.60779192875548
"79" "A" -73 -0.98191335174072
"80" "A" -59 -0.0997982176344421
"81" "A" -72 0.169998447282206
"82" "A" -24 1.86273920139174
"83" "A" 68 -0.887517924733183
"84" "A" 91 -0.598995650565386
"85" "A" -7 -0.413320269692292
"86" "A" -55 0.767570640040116
"87" "A" -23 -0.232399859239498
"88" "A" -20 0.56268739177708
"89" "A" -55 1.0531323391836
"90" "A" -7 1.37189493284899
"91" "A" 17 0.729095954719513
"92" "A" 68 0.310737608260594
"93" "A" -93 0.289834720415496
"94" "A" -62 0.201123690726207
"95" "A" 3 -0.259350509830797
"96" "A" 18 1.19451265321674
"97" "A" -7 -0.331973757667107
"98" "A" -40 1.58685532819112
"99" "A" -61 0.474650969714547
"100" "A" -81 0.302631228092356
"101" "B" 36 1.07412246507818
"102" "B" -83 1.08649819070899
"103" "B" 26 1.34659888642443
"104" "B" 63 0.90619660859138
"105" "B" -62 0.758417765185517
"106" "B" -22 0.859410678918895
"107" "B" 77 1.11043421884114
"108" "B" 9 1.37023321774397
"109" "B" -15 0.397430805011455
"110" "B" 99 -0.0118448923893686
"111" "B" 59 -1.20069589356926
"112" "B" 53 -0.637950589666186
"113" "B" 57 -1.09587675129803
"114" "B" 81 0.986762750420671
"115" "B" 4 0.875169701434236
"116" "B" -25 -0.97027311226499
"117" "B" 9 1.78446110875527
"118" "B" -10 0.338716445199733
"119" "B" 10 -0.389653174404006
"120" "B" 2 0.499066833150032
"121" "B" 22 0.165369626603053
"122" "B" 96 0.280717433574438
"123" "B" -63 -0.246316772009712
"124" "B" -29 2.14787977580389
"125" "B" -84 1.06000868132798
"126" "B" 83 -0.178827460105827
"127" "B" 13 -1.02498900343923
"128" "B" 71 -1.31261750674621
"129" "B" 18 -2.04940167332912
"130" "B" 24 0.213771901999372
"131" "B" 99 -0.732861535501594
"132" "B" -41 0.380288601878107
"133" "B" -67 -1.11028215439087
"134" "B" -78 -0.416156387630792
"135" "B" -64 1.75417083757056
"136" "B" -1 -0.230186888684542
"137" "B" 88 1.55120700317861
"138" "B" 72 0.130105510347941
"139" "B" -80 -1.03434324022519
"140" "B" 57 1.38609768353834
"141" "B" -91 1.2333121242446
"142" "B" 9 0.317620550772754
"143" "B" 11 -0.517227820947413
"144" "B" 68 1.75849557123767
"145" "B" 6 -0.547032384727078
"146" "B" 58 -0.915709149062109
"147" "B" -95 -0.512000316833687
"148" "B" 39 -1.08619406154886
"149" "B" 12 -1.42100905030997
"150" "B" -85 0.145351972202346
"151" "B" 100 -1.07845990930501
"152" "B" 8 0.740247514218518
"153" "B" 12 0.509821950603838
"154" "B" 12 1.03621761494404
"155" "B" 88 2.45764194742137
"156" "B" 9 1.5587575091966
"157" "B" 49 1.78282572590202
"158" "B" 98 -0.0157314074763934
"159" "B" 25 0.835924251258168
"160" "B" 76 -0.592444229103968
"161" "B" -98 -0.525750476585487
"162" "B" -13 1.45008294523757
"163" "B" 71 1.82297509448526
"164" "B" -97 -1.57373130505713
"165" "B" -54 -0.180219194689031
"166" "B" 42 -1.61691230567136
"167" "B" -98 0.375777327126334
"168" "B" -29 0.330394661102559
"169" "B" -52 -1.015453577064
"170" "B" -27 0.363020739469632
"171" "B" 58 1.07853160294773
"172" "B" 47 1.33425892864562
"173" "B" 41 -0.926332674179139
"174" "B" -59 -0.263800945726217
"175" "B" 63 -1.84342405379587
"176" "B" 5 -0.121161413396097
"177" "B" -19 2.10970074256401
"178" "B" -32 1.54369874570289
"179" "B" -100 1.14994082436063
"180" "B" -87 0.476223773564646
"181" "B" -53 1.56389409831015
"182" "B" -97 -0.662971865225304
"183" "B" 52 -0.495766067779765
"184" "B" 100 0.993256250080019
"185" "B" 66 -0.164794017268649
"186" "B" 2 0.0025583436958789
"187" "B" 72 0.263258350734662
"188" "B" 49 -1.74187201182604
"189" "B" 57 -1.08775290452744
"190" "B" -21 0.933717761242638
"191" "B" -70 1.18139970953823
"192" "B" -62 -0.445882759041847
"193" "B" 41 -0.355984611186626
"194" "B" -33 0.231208667628348
"195" "B" 98 -0.0303719281455991
"196" "B" 19 0.470946939212164
"197" "B" 78 -0.0802138070995082
"198" "B" 9 0.499920490307721
"199" "B" -35 -0.437926496777098
"200" "B" 96 -0.561558664003717
"201" "C" 88 -0.0526962757428636
"202" "C" -99 0.59999305930012
"203" "C" 5 1.33995775917915
"204" "C" 4 -1.38704187929135
"205" "C" -44 0.714794060255715
"206" "C" 19 -0.403817264762692
"207" "C" -46 -0.554832553253986
"208" "C" -47 0.426195179832756
"209" "C" -99 0.368944576833032
"210" "C" 63 -0.664285083528441
"211" "C" 18 1.59424379524262
"212" "C" 64 -0.758737353358539
"213" "C" 89 0.279380590274538
"214" "C" -51 -0.72127649312427
"215" "C" 24 0.672703448486011
"216" "C" -93 -0.557424655509713
"217" "C" -59 0.575670669638795
"218" "C" 25 -0.796694454281536
"219" "C" 34 -1.47332205248516
"220" "C" -21 -0.991527815979412
"221" "C" -99 -0.187977811441787
"222" "C" 67 -0.124279196429798
"223" "C" 71 -0.974595735061252
"224" "C" 42 -0.577775254450095
"225" "C" 27 -0.496592673195307
"226" "C" 37 1.02171768594879
"227" "C" -86 0.818604029953437
"228" "C" -79 -0.106910678847919
"229" "C" 76 -1.72503316466452
"230" "C" -87 -0.484617936745127
"231" "C" -17 1.13266472471012
"232" "C" -43 2.40299106210272
"233" "C" -26 0.687757715399578
"234" "C" 54 0.825240922681949
"235" "C" 5 1.45700926372537
"236" "C" 50 -0.305171216559199
"237" "C" 16 0.299386638042547
"238" "C" -74 -1.19086956423318
"239" "C" 70 0.186931275291409
"240" "C" -2 -0.624881722571058
"241" "C" 27 0.103284746438334
"242" "C" -8 1.0691933494073
"243" "C" -68 0.789479405707513
"244" "C" 41 -1.45166580382261
"245" "C" 57 1.61271730138886
"246" "C" -81 0.592242182892491
"247" "C" 92 0.22440696077954
"248" "C" -69 -1.2625721796708
"249" "C" -80 0.0738585098972472
"250" "C" 95 0.0575851710825805
"251" "C" 11 0.0323728018924993
"252" "C" -75 0.867008093609765
"253" "C" 25 -0.180468237975379
"254" "C" -50 -0.127885743482354
"255" "C" 86 1.05252970142408
"256" "C" -27 -0.30138065683146
"257" "C" -56 0.181379724219657
"258" "C" -35 -1.41418323250264
"259" "C" -38 0.526370929455767
"260" "C" -2 -0.798530223783067
"261" "C" 29 -1.53299332082968
"262" "C" 23 1.4797473789859
"263" "C" -27 -0.0939187418913607
"264" "C" 17 -0.138760095089772
"265" "C" 100 -0.711905541123951
"266" "C" 51 0.472564659069483
"267" "C" -84 0.750070213822793
"268" "C" -63 -0.463590426218365
"269" "C" -51 -1.05690910157289
"270" "C" 56 0.614662337747658
"271" "C" -94 0.7217986820245
"272" "C" -19 0.6969590675182
"273" "C" 78 -1.09625702059354
"274" "C" 5 1.07631361155197
"275" "C" 94 -1.31880632903056
"276" "C" -99 -0.321661021381001
"277" "C" -11 0.0640951868712153
"278" "C" 20 1.58666860062972
"279" "C" 25 -0.367491097433926
"280" "C" 71 -0.173311897474677
"281" "C" 47 1.20869911389973
"282" "C" 85 0.624650830861698
"283" "C" 17 -0.78985751552332
"284" "C" -93 -1.1749721009769
"285" "C" -2 1.45003311135355
"286" "C" -36 1.69706323719642
"287" "C" 5 -0.184866417946022
"288" "C" -49 -0.52531985799678
"289" "C" -2 -1.52431898768866
"290" "C" -28 -0.35769534711387
"291" "C" 68 -1.14231896364263
"292" "C" -49 0.172588905100626
"293" "C" -47 0.278495126372285
"294" "C" -41 0.609989214312903
"295" "C" 81 1.12637973044641
"296" "C" -67 0.383259795402787
"297" "C" 38 -0.645072731773689
"298" "C" -71 -0.804750013587666
"299" "C" -1 -0.703422499038342
"300" "C" 89 1.84149003165809
