"vector1" "vector2" "vector3"
"B" -35 -0,437926496777098
"B" 96 -0,561558664003717
"C" 88 -0,0526962757428636
"C" -99 0,59999305930012
"C" 5 1,33995775917915
"C" 4 -1,38704187929135
"C" -44 0,714794060255715
"C" 19 -0,403817264762692
"C" -46 -0,554832553253986
"C" -47 0,426195179832756
"C" -99 0,368944576833032
"C" 63 -0,664285083528441
"C" 18 1,59424379524262
"C" 64 -0,758737353358539
"C" 89 0,279380590274538
"C" -51 -0,72127649312427
"C" 24 0,672703448486011
"C" -93 -0,557424655509713
"C" -59 0,575670669638795
"C" 25 -0,796694454281536
"C" 34 -1,47332205248516
"C" -21 -0,991527815979412
"C" -99 -0,187977811441787
"C" 67 -0,124279196429798
"C" 71 -0,974595735061252
"C" 42 -0,577775254450095
"C" 27 -0,496592673195307
"C" 37 1,02171768594879
"C" -86 0,818604029953437
"C" -79 -0,106910678847919
"C" 76 -1,72503316466452
"C" -87 -0,484617936745127
"C" -17 1,13266472471012
"C" -43 2,40299106210272
"C" -26 0,687757715399578
"C" 54 0,825240922681949
"C" 5 1,45700926372537
"C" 50 -0,305171216559199
"C" 16 0,299386638042547
"C" -74 -1,19086956423318
"C" 70 0,186931275291409
"C" -2 -0,624881722571058
"C" 27 0,103284746438334
"C" -8 1,0691933494073
"C" -68 0,789479405707513
"C" 41 -1,45166580382261
"C" 57 1,61271730138886
"C" -81 0,592242182892491
"C" 92 0,22440696077954
"C" -69 -1,2625721796708
"C" -80 0,0738585098972472
"C" 95 0,0575851710825805
"C" 11 0,0323728018924993
"C" -75 0,867008093609765
"C" 25 -0,180468237975379
"C" -50 -0,127885743482354
"C" 86 1,05252970142408
"C" -27 -0,30138065683146
"C" -56 0,181379724219657
"C" -35 -1,41418323250264
"C" -38 0,526370929455767
"C" -2 -0,798530223783067
"C" 29 -1,53299332082968
"C" 23 1,4797473789859
"C" -27 -0,0939187418913607
"C" 17 -0,138760095089772
"C" 100 -0,711905541123951
"C" 51 0,472564659069483
"C" -84 0,750070213822793
"C" -63 -0,463590426218365
"C" -51 -1,05690910157289
"C" 56 0,614662337747658
"C" -94 0,7217986820245
"C" -19 0,6969590675182
"C" 78 -1,09625702059354
"C" 5 1,07631361155197
"C" 94 -1,31880632903056
"C" -99 -0,321661021381001
"C" -11 0,0640951868712153
"C" 20 1,58666860062972
"C" 25 -0,367491097433926
"C" 71 -0,173311897474677
"C" 47 1,20869911389973
"C" 85 0,624650830861698
"C" 17 -0,78985751552332
"C" -93 -1,1749721009769
"C" -2 1,45003311135355
"C" -36 1,69706323719642
"C" 5 -0,184866417946022
"C" -49 -0,52531985799678
"C" -2 -1,52431898768866
"C" -28 -0,35769534711387
"C" 68 -1,14231896364263
"C" -49 0,172588905100626
"C" -47 0,278495126372285
"C" -41 0,609989214312903
"C" 81 1,12637973044641
"C" -67 0,383259795402787
"C" 38 -0,645072731773689
"C" -71 -0,804750013587666
"C" -1 -0,703422499038342
"C" 89 1,84149003165809
