"X"	"Y"
7.38	1
9.21	1
-4.5	0
-3.46	0
3.13	1
-9.88	0
-7.25	0
-8.63	0
-4.9	0
4.65	1
7.76	1
-7.33	0
-7.23	0
9.83	1
1.26	1
1.19	1
-5.46	0
-4.21	0
5.47	1
-5.59	0
-9.4	0
4.98	1
-9.12	0
3.78	1
0.667	1
3.16	1
5.96	1
-7.63	0
-9.41	0
-3.65	0
7.06	1
0.0913	1
-2.73	0
-2.63	0
0.588	0
-6.96	0
-1.95	0
4.56	1
-5.29	0
6.08	1
1.86	1
0.764	1
-5.67	0
-9.82	0
-8.69	0
6.76	1
-9.04	0
4.65	1
-2.84	0
7.28	1
-5.42	0
2.06	1
-6.86	0
5.17	1
-0.661	1
-1	0
-9.93	0
2.2	1
-4.71	0
-9.36	0
-6.89	0
-1.78	0
-3.93	0
0.785	1
-4.68	0
-0.856	0
7.32	1
7.09	1
-9.48	0
-0.0339	0
6.31	1
-1.94	0
-0.38	1
-5.07	0
-6.66	0
9.4	1
-4.31	0
8.72	1
8.5	1
4.81	1
3.15	1
7.82	1
8.42	1
4.68	1
-3.34	0
-6.55	0
-6.03	0
-8.22	0
-8.09	0
8.38	1
-7.58	0
-9.43	0
-6.23	0
4.28	1
-6.7	0
-3.12	0
-3.37	0
5.21	1
-5.28	0
1.63	1
9.44	1
4.71	1
8.03	1
5.1	1
-9.46	0
5.81	1
2.16	1
0.661	1
-4.23	0
-7.28	0
6.37	1
6.62	1
-7.05	0
-5.59	0
3.79	1
8.57	1
-0.63	0
-0.172	0
-2.68	0
3.97	1
2.36	1
3.43	1
-4.36	0
3.91	1
4.59	1
-9.19	0
-6.9	0
5	1
5.42	1
-9.37	0
-1.68	0
2.97	1
6.01	1
0.39	1
-3.39	0
-6.51	0
2.07	1
8.27	1
8.72	1
-6.16	0
9.89	1
8.33	1
2.67	1
-8.72	0
4.17	1
6.72	1
-3.56	0
-1.94	0
-3.02	0
0.172	0
-7.84	0
-3.69	0
7	1
9.09	1
3.86	1
7.38	1
2.7	1
2.81	1
-2.2	0
3.17	1
-6.5	0
-4.08	0
2.81	1
-5.07	0
5.36	1
-4.29	0
-5.53	0
-5.57	0
-2.07	0
-5.71	0
-5.51	0
2.64	1
5.49	1
-8.61	0
-2.7	1
-4.55	0
9.17	1
4.64	1
-4.7	0
8.01	1
-7.46	0
-3.41	0
0.736	1
-2.1	0
-4.44	0
0.479	0
5.02	1
6.26	1
4.95	1
-7.39	0
-2.17	1
-2.17	0
-4.71	0
7.14	1
-9.25	0
8.61	1
-5.55	0
-8.2	0
-3.83	0
0.691	0
5.35	1
6.77	1
6.75	1
4.61	1
6.64	1
-3.25	0
-2.37	0
-4.3	0
-0.774	0
8.09	1
9.92	1
3.84	1
-9.35	0
7.45	1
6.19	1
-8.16	0
1.15	0
-1.34	0
-7.24	0
5.7	1
5.99	1
-9.95	0
2.53	1
0.686	1
-5.35	0
5.69	1
0.872	0
-5.5	0
-3.48	0
3.63	1
6.03	1
4.8	1
4.37	1
8.77	1
-4.28	0
6.64	1
9.7	1
7.13	1
-0.383	0
-9.86	0
-1.73	1
0.722	1
-9.53	0
-1.57	0
9.73	1
-4.09	0
3.64	1
-6.68	0
9.97	1
7.12	1
2.34	1
4.35	1
8.16	1
9.91	1
-3.08	0
8.28	1
2.9	1
-8.37	0
7.71	1
3.94	1
3.05	1
8.06	1
1.25	0
3.2	1
-5.9	0
7.4	1
3.82	1
4.51	1
-3.23	0
-0.314	1
-9.87	0
-5.53	0
1.61	1
8.62	1
8.12	1
9.01	1
5.42	1
6.66	1
2.46	0
-2.64	0
1.37	1
-3.71	0
4.93	1
8.84	1
-6.17	0
1.82	1
4.04	1
1.93	1
-5.1	0
-9.1	0
-7.42	0
2.85	1
-9.98	0
-1.8	0
-1.68	1
7.3	1
-2.35	0
-2.74	0
3.86	1
8.75	1
-7.19	0
-7.27	0
2.33	1
-4.18	0
1.81	1
5.97	1
-9.25	0
4.62	1
-4.04	0
0.663	1
5.11	1
-6.87	0
5.43	1
8.49	1
-4.83	0
8.83	1
4.14	1
-2.92	0
-4.31	0
9.9	1
-9.83	0
2.35	1
5.31	1
-3.53	0
1.06	1
-1.01	0
1.67	1
5.1	1
-9.39	0
2.96	1
-7.74	0
-7.82	0
3.52	1
3.36	1
-5.95	0
4.33	1
-1.55	0
-0.314	1
-5.98	0
6.19	1
-5.39	0
-8.76	0
-9.05	0
-1.57	0
6.99	1
-9.86	0
-6.29	0
2.64	1
0.644	1
-0.389	0
2.05	1
4.31	1
-0.481	1
-6.3	0
-8.9	0
-3.52	1
1.74	1
4.3	1
-6.71	0
-1.04	1
8.98	1
-9.19	0
-5.85	0
-9.63	0
-0.504	1
-3.16	0
6.43	1
-5.4	0
-4.71	0
3.94	1
4.13	1
4.72	1
-0.00733	0
-7.94	0
-0.681	0
-0.937	0
0.205	1
-9.54	0
-6.69	0
-7.69	0
3.52	1
8.56	1
-0.0999	1
1.82	0
-4.49	0
-4.93	0
1.86	1
0.142	1
8	1
-6.18	0
2.16	1
-6.61	0
8.5	1
-6.55	0
5.08	1
-7.64	0
-7.56	0
2.12	1
-6.75	0
4.64	1
-9.76	0
-3.72	0
-5.59	0
-2.56	0
8.75	1
7.74	1
-1.82	1
-1.06	0
9.52	1
-0.699	1
-3.74	0
-1.42	0
4.22	1
4.58	1
1.69	1
2.95	1
-7.51	0
-4.43	0
-8.84	0
6.49	1
-3.6	0
5.24	1
-4.79	0
6.68	1
3.19	1
6.21	1
7.25	1
9.64	1
5.36	1
1.92	0
-4.28	0
9.54	1
7.69	1
-9.51	0
-7.02	0
9.42	1
2.24	1
8.69	1
0.593	0
7.61	1
-0.945	0
-5.97	0
2.31	1
-0.898	0
3.36	1
-3.77	0
4.61	1
-0.0936	0
-3.63	0
5.93	1
7.55	1
6.53	1
7.74	1
-4.23	0
6.79	1
1.22	1
0.99	1
5.1	1
9.2	1
-2.1	0
4.68	1
0.681	1
-2.38	0
3.91	1
-6.94	0
2.54	1
0.635	0
-0.334	0
0.213	0
1.14	1
-9.3	0
-0.675	0
-8.11	0
2.8	1
-3.8	0
-4	0
1.28	1
7.99	1
9.7	1
5.73	1
-9.3	0
7.76	1
-3.2	0
-1.77	0
2.64	1
0.608	1
0.816	0
3.55	1
-2.54	0
-1.06	0
-3.82	0
-7.2	0
9.99	1
5.8	1
6.69	1
-1.07	0
8.19	1
-3.39	0
-6.63	0
1.78	1
3.12	1
-0.787	0
9.22	1
7.12	1
8.93	1
5.73	1
-7.97	0
-4.1	0
6.86	1
8	1
-4.77	0
-6.17	0
-9.29	0
-4.73	0
-8.4	0
-3.8	0
-6.66	0
1.35	0
5.56	1
-1.73	0
5.9	1
-0.0199	0
5.8	1
0.429	1
-9.82	0
-2.25	0
6.96	1
-4.42	0
9.08	1
-5.15	0
-4.78	0
-1.67	0
-8.76	0
2.23	1
-1.74	0
-9.36	0
-8.84	0
-8.65	0
2.29	1
5.73	1
-0.402	0
9.15	1
3.75	1
-3.78	0
-4.67	0
3.87	1
8.58	1
-0.059	0
2.95	1
3.99	1
5.97	1
-1.62	0
2.3	1
6.24	1
1.04	1
-9.81	0
9.47	1
-6.37	0
-2.96	0
-9.4	0
7.85	1
0.411	1
4.56	1
4.86	1
-9.07	0
-6.13	0
2.68	1
-2.94	0
-8.57	0
-4.14	0
2.18	1
-9.19	0
6.1	1
-1.51	0
-3.52	0
1.38	1
-7.99	0
-5.55	0
0.51	0
2.56	1
-6.48	0
2.92	1
3.3	1
3.39	1
7.07	1
-1.05	1
-5.86	0
0.0144	0
3.49	1
2.28	1
1.95	1
-9.78	0
-2.03	0
8.7	1
-2.02	0
5.9	1
-3.45	0
2.82	1
-0.303	0
-2.91	0
-0.668	0
3.3	1
-6.34	0
-8.17	0
4.54	1
3.21	1
-0.36	1
-0.682	0
-7.01	0
8.65	1
3.89	1
-8.65	0
-7.64	0
8.82	1
0.22	0
-2.84	0
0.922	1
-7.55	0
6.28	1
-8.85	0
-8.34	0
6.09	1
5.83	1
-7.69	0
-3.93	0
-2.74	0
-7.74	0
-5.79	0
-9.44	0
6.55	1
9.47	1
1.78	0
-1.25	1
5.72	1
4.92	1
8.26	1
-8.45	0
-2.03	0
-3.08	0
-7.68	0
-9.63	0
-5.63	0
-4.25	0
-7.06	0
1.3	0
-5.95	0
-9.16	0
-5.24	0
3.29	1
-9.13	0
-3.44	0
8.04	1
7.07	1
3.42	1
-9.87	0
-9.79	0
5.69	1
-7.45	0
-2.02	0
7.89	1
-9.09	0
6.9	1
6.07	1
5.64	1
3.86	1
1.41	1
-6.23	0
-2.18	0
3.44	1
2.6	1
9.83	1
5.63	1
1.45	1
-2.23	0
-4.73	0
8.45	1
6.76	1
-7.92	0
9.11	1
-9.15	0
-6.29	0
-4.96	0
0.729	0
2.78	1
1.49	0
8	1
7.87	1
-1.6	0
5.3	1
-1.91	0
-4.26	0
-4.45	0
0.213	0
-5	0
-6.19	0
3.96	1
0.52	0
9.35	1
6.82	1
1.22	1
-7.44	0
-7.69	0
7.56	1
-0.353	1
-4.27	0
6.48	1
6.8	1
-9.62	0
9.5	1
0.879	1
-7.44	0
3.61	1
-7.38	0
3.52	1
-5.91	0
2.42	1
-6.65	0
2.4	1
4.53	1
-7.49	0
-1.12	0
4.85	1
-8.58	0
-1.62	0
-1.66	0
-1.92	1
-3.45	0
-3.65	0
5.63	1
7.99	1
3.12	1
1.18	0
-6.56	0
3.44	1
6.34	1
6.93	1
7.44	1
-3.05	0
-7.43	0
-1.55	0
6.91	1
3.04	1
-8.71	0
2.71	1
8.36	1
-7.13	0
-9.39	0
-9.28	0
6.71	1
-0.998	1
9.68	1
-5.67	0
-0.617	1
